Ranking	Node	Degree	Componenet
1 	 AP_Spanish_Online 	 105 	 1 
2 	 AP_Planner 	 105 	 1 
3 	 Associated_Press_International 	 105 	 1 
4 	 Associated_Press_State_&_Local 	 105 	 1 
5 	 The_Associated_Press 	 105 	 1 
6 	 Associated_Press_Financial_Wire 	 105 	 1 
7 	 25.0 	 43 	 1 
8 	 2.0 	 63 	 1 
9 	 1.0 	 86 	 1 
10 	 The_Hill 	 69 	 1 
11 	 ABC_News 	 43 	 1 
12 	 ABC_News_Transcript_THIS_WEEK_10:01_AM_EST 	 43 	 1 
13 	 The_Conversation_-_United_States 	 43 	 1 
14 	 The_Conversation_-_United_Kingdom 	 43 	 1 
15 	 The_Conversation_-_Spanish 	 43 	 1 
16 	 The_Conversation_-_Australia 	 43 	 1 
17 	 El_Pais 	 36 	 1 
18 	 Metro_(UK)_Mexico 	 35 	 1 
19 	 Metro_Toluca 	 35 	 1 
20 	 United_Nations_News_Portuguese 	 21 	 1 
21 	 United_Nations_News_English 	 21 	 1 
22 	 United_Nations_News_Spanish 	 21 	 1 
23 	 UN_News_Service_(New_York) 	 21 	 1 
24 	 0.0 	 79 	 1 
25 	 Indian_Express 	 29 	 1 
26 	 TOI.com_&_ET.com_Blogs 	 27 	 1 
27 	 The_Times_of_India_(TOI) 	 27 	 1 
28 	 The_Economic_Times 	 23 	 1 
29 	 Postmedia_Breaking_News 	 27 	 1 
30 	 National_Post_(f/k/a_The_Financial_Post)_(Canada)_Argentina 	 27 	 1 
31 	 10.0 	 33 	 1 
32 	 National_Post's_Financial_Post_&_FP_Investing_(Canada) 	 18 	 1 
33 	 The_Week 	 20 	 1 
34 	 11.0 	 33 	 1 
35 	 Bangor_Daily_News_(Maine) 	 30 	 1 
36 	 3.0 	 41 	 1 
37 	 The_Gazette_(Montreal) 	 13 	 1 
38 	 Gazeta_Wyborcza 	 12 	 1 
39 	 Mehr_News_Agency_(MNA) 	 8 	 1 
40 	 Ottawa_Citizen 	 15 	 1 
41 	 The_New_York_Times_-_International_Edition_Peru 	 11 	 1 
42 	 The_New_York_Times 	 11 	 1 
43 	 Cyprus_Mail 	 12 	 1 
44 	 The_Observer_(London) 	 9 	 1 
45 	 The_Guardian_(London) 	 9 	 1 
46 	 21.0 	 7 	 1 
47 	 The_Daily_Caller 	 14 	 1 
48 	 Azeri-Press_news_agency_(APA) 	 6 	 1 
49 	 My_Republica 	 5 	 1 
50 	 Pajhwok_Afghan_News_English 	 7 	 1 
51 	 EuroNews_-_Versione_Italiana 	 5 	 1 
52 	 Windsor_Star_(Ontario) 	 7 	 1 
53 	 El_Comercio_(Peru) 	 7 	 1 
54 	 9.0 	 38 	 1 
55 	 EuroNews_-_Version_Espanola 	 7 	 1 
56 	 13.0 	 34 	 1 
57 	 Toronto_Sun 	 9 	 1 
58 	 The_Vancouver_Province_(British_Columbia) 	 5 	 1 
59 	 The_Nation_(Nigeria) 	 5 	 1 
60 	 Syrian_Arab_News_Agency_(SANA) 	 8 	 1 
61 	 The_Sunday_Telegraph_(London) 	 6 	 1 
62 	 telegraph.co.uk 	 6 	 1 
63 	 The_Daily_Telegraph_(London) 	 6 	 1 
64 	 The_Daily_Telegraph_Online 	 6 	 1 
65 	 pravda.sk 	 4 	 1 
66 	 Business_Insider_US 	 5 	 1 
67 	 Saudi_Gazette_-_Saudi_Arabia 	 4 	 1 
68 	 The_Sunday_Times_(London)_Spain 	 5 	 1 
69 	 The_Times_(London) 	 5 	 1 
70 	 thetimes.co.uk 	 5 	 1 
71 	 5.0 	 41 	 1 
72 	 Gazeta_Wyborcza_in_English 	 6 	 1 
73 	 464.0 	 34 	 1 
74 	 66.0 	 10 	 1 
75 	 El_Heraldo_de_México 	 5 	 1 
76 	 The_Japan_News 	 4 	 1 
77 	 Valor_Supplements 	 4 	 1 
78 	 CBC_News 	 3 	 1 
79 	 Reforma_(Mexico) 	 15 	 1 
80 	 12.0 	 34 	 1 
81 	 53.0 	 8 	 1 
82 	 37.0 	 2 	 1 
83 	 207.0 	 8 	 1 
84 	 83.0 	 1 	 1 
85 	 The_Punch 	 3 	 1 
86 	 137.0 	 1 	 1 
87 	 23.0 	 2 	 1 
88 	 75.0 	 1 	 1 
89 	 139.0 	 31 	 1 
90 	 209.0 	 11 	 1 
91 	 81.0 	 20 	 1 
92 	 Asian_News_International_(ANI) 	 21 	 1 
93 	 58.0 	 16 	 1 
94 	 Euronews_Greek_Version 	 12 	 1 
95 	 295.0 	 2 	 1 
96 	 219.0 	 2 	 1 
97 	 Edmonton_Journal_(Alberta) 	 3 	 1 
