Ranking	Node	Degree	Componenet
1 	 0.0 	 70 	 1 
2 	 1.0 	 50 	 1 
3 	 15.0 	 18 	 1 
4 	 24.0 	 10 	 1 
5 	 9.0 	 12 	 1 
6 	 13.0 	 15 	 1 
7 	 10.0 	 14 	 1 
8 	 2.0 	 18 	 1 
9 	 3.0 	 18 	 1 
10 	 219.0 	 12 	 1 
11 	 5.0 	 14 	 1 
12 	 6.0 	 9 	 1 
13 	 7.0 	 11 	 1 
14 	 14.0 	 7 	 1 
15 	 20.0 	 7 	 1 
16 	 25.0 	 7 	 1 
17 	 18.0 	 6 	 1 
18 	 76.0 	 6 	 1 
19 	 61.0 	 6 	 1 
20 	 50.0 	 6 	 1 
21 	 12.0 	 7 	 1 
22 	 4.0 	 5 	 1 
23 	 26.0 	 4 	 1 
24 	 16.0 	 6 	 1 
25 	 37.0 	 5 	 1 
26 	 139.0 	 4 	 1 
27 	 36.0 	 4 	 1 
28 	 34.0 	 2 	 1 
29 	 11.0 	 2 	 1 
30 	 47.0 	 2 	 1 
31 	 27.0 	 2 	 1 
32 	 8.0 	 2 	 1 
33 	 Gazeta_Wyborcza 	 2 	 1 
34 	 The_Daily_Caller 	 2 	 1 
35 	 Bangor_Daily_News_(Maine) 	 1 	 1 
36 	 81.0 	 1 	 1 
37 	 Associated_Press_Financial_Wire 	 19 	 1 
38 	 telegraph.co.uk 	 3 	 1 
39 	 El_Comercio_(Peru) 	 1 	 1 
40 	 TVEyes_-_BBC_2 	 2 	 1 
41 	 Toronto_Sun 	 1 	 1 
42 	 CBC_News 	 2 	 1 
43 	 TVEyes_-_BBC_1_Scotland 	 2 	 1 
44 	 Manila_Bulletin 	 1 	 1 
45 	 Ottawa_Citizen 	 4 	 1 
46 	 RollCall.com 	 1 	 1 
47 	 TVEyes_-_BBC_1_South_West 	 2 	 1 
48 	 The_Sunday_Telegraph_(London) 	 3 	 1 
49 	 Associated_Press_International 	 19 	 1 
50 	 Azeri-Press_news_agency_(APA) 	 2 	 1 
51 	 National_Post's_Financial_Post_&_FP_Investing_(Canada) 	 2 	 1 
52 	 UPI 	 1 	 1 
53 	 The_Times_of_India_(TOI) 	 2 	 1 
54 	 TOI.com_&_ET.com_Blogs 	 2 	 1 
55 	 Edmonton_Journal_(Alberta) 	 2 	 1 
56 	 The_Sunday_Times_(London)_Spain 	 1 	 1 
57 	 The_Times_(London) 	 1 	 1 
58 	 thetimes.co.uk 	 1 	 1 
59 	 Business_Insider_US 	 3 	 1 
60 	 The_Observer_(London) 	 5 	 1 
61 	 TVEyes_-_BBC_1_South_East 	 2 	 1 
62 	 TVEyes_-_BBC_Parliament 	 2 	 1 
63 	 The_Conversation_-_Australia 	 9 	 1 
64 	 The_Hill 	 12 	 1 
65 	 The_Conversation_-_United_States 	 9 	 1 
66 	 The_Associated_Press 	 19 	 1 
67 	 TVEyes_-_BBC_1_Northern_Ireland 	 2 	 1 
68 	 29.0 	 1 	 1 
69 	 TVEyes_-_BBC_News_24 	 2 	 1 
70 	 Reforma_(Mexico) 	 1 	 1 
71 	 TVEyes_-_BBC_1_East_Midlands 	 2 	 1 
72 	 TVEyes_-_BBC_1_Yorkshire_and_Lincolnshire 	 2 	 1 
73 	 TVEyes_-_BBC_1_Oxford 	 2 	 1 
74 	 TVEyes_-_BBC_1_West_Midlands 	 2 	 1 
75 	 TVEyes_-_BBC_1_West 	 2 	 1 
76 	 Syrian_Arab_News_Agency_(SANA) 	 2 	 1 
77 	 National_Post_(f/k/a_The_Financial_Post)_(Canada)_Argentina 	 4 	 1 
78 	 TVEyes_-_BBC_1_Southampton 	 2 	 1 
79 	 Metro_Toluca 	 4 	 1 
80 	 Metro_(UK)_Mexico 	 4 	 1 
81 	 TVEyes_-_BBC_1_North_East_and_Cumbria 	 2 	 1 
82 	 Associated_Press_State_&_Local 	 19 	 1 
83 	 UK_Government_News 	 3 	 1 
84 	 TVEyes_-_BBC_1_North_West 	 2 	 1 
85 	 AP_Planner 	 19 	 1 
86 	 Mehr_News_Agency_(MNA) 	 2 	 1 
87 	 The_Week 	 2 	 1 
88 	 172.0 	 1 	 1 
89 	 The_Conversation_-_Spanish 	 9 	 1 
90 	 The_Guardian_(London) 	 5 	 1 
91 	 ABC_News 	 9 	 1 
92 	 TVEyes_-_BBC_1_North 	 2 	 1 
93 	 TVEyes_-_BBC_3 	 2 	 1 
94 	 The_Daily_Telegraph_Online 	 3 	 1 
95 	 AP_Spanish_Online 	 19 	 1 
