Ranking	Node	Degree	Componenet
153 	 Winnipeg_Sun 	 6 	 1 
154 	 ENP_Newswire_Mexico 	 2 	 1 
155 	 The_Peninsula 	 2 	 1 
156 	 UPI 	 4 	 1 
157 	 203.0 	 6 	 1 
158 	 138.0 	 7 	 1 
159 	 TVEyes_-_BBC_1_East 	 3 	 1 
160 	 96.0 	 6 	 1 
161 	 26.0 	 2 	 1 
162 	 83.0 	 1 	 1 
163 	 274.0 	 1 	 1 
164 	 TVEyes_-_BBC_3 	 3 	 1 
165 	 97.0 	 6 	 1 
166 	 250.0 	 7 	 1 
167 	 telegraph.co.uk 	 6 	 1 
168 	 TVEyes_-_BBC_1_Yorkshire_and_Lincolnshire 	 3 	 1 
169 	 TVEyes_-_BBC_1_East_Midlands 	 3 	 1 
170 	 109.0 	 1 	 1 
171 	 126.0 	 8 	 1 
172 	 170.0 	 1 	 1 
173 	 TVEyes_-_BBC_1_Oxford 	 3 	 1 
174 	 106.0 	 6 	 1 
175 	 35.0 	 11 	 1 
176 	 63.0 	 7 	 1 
177 	 EuroNews_-_Version_Espanola 	 7 	 1 
178 	 199.0 	 1 	 1 
179 	 82.0 	 6 	 1 
180 	 125.0 	 6 	 1 
181 	 TVEyes_-_BBC_1_London 	 3 	 1 
182 	 EuroNews_-_Versione_Italiana 	 5 	 1 
183 	 NBCNEWS.com_Mexico 	 3 	 1 
184 	 143.0 	 1 	 1 
185 	 34.0 	 2 	 1 
186 	 El_Comercio_(Peru) 	 7 	 1 
187 	 93.0 	 1 	 1 
188 	 TVEyes_-_BBC_1_Northern_Ireland 	 3 	 1 
189 	 489.0 	 1 	 1 
190 	 Manila_Bulletin 	 3 	 1 
191 	 TVEyes_-_BBC_1_North_East_and_Cumbria 	 3 	 1 
192 	 211.0 	 1 	 1 
193 	 UK_Government_News 	 2 	 1 
194 	 113.0 	 7 	 1 
195 	 104.0 	 6 	 1 
196 	 136.0 	 6 	 1 
197 	 107.0 	 7 	 1 
198 	 31.0 	 11 	 1 
199 	 TVEyes_-_BBC_1_West_Midlands 	 3 	 1 
200 	 Edmonton_Sun 	 2 	 1 
201 	 49.0 	 6 	 1 
202 	 54.0 	 6 	 1 
203 	 79.0 	 7 	 1 
204 	 76.0 	 7 	 1 
205 	 The_Punch 	 3 	 1 
206 	 TVEyes_-_BBC_1_South_East 	 3 	 1 
207 	 The_Guardian_(London) 	 9 	 1 
208 	 234.0 	 6 	 1 
209 	 122.0 	 7 	 1 
210 	 67.0 	 7 	 1 
211 	 305.0 	 6 	 1 
212 	 376.0 	 6 	 1 
213 	 The_Daily_Telegraph_(London) 	 6 	 1 
214 	 150.0 	 6 	 1 
215 	 RollCall.com 	 4 	 1 
216 	 172.0 	 2 	 1 
217 	 The_New_York_Times_-_International_Edition_Peru 	 11 	 1 
218 	 100.0 	 7 	 1 
219 	 TVEyes_-_BBC_News_24 	 3 	 1 
220 	 TVEyes_-_BBC_1_South_West 	 3 	 1 
221 	 90.0 	 1 	 1 
222 	 78.0 	 6 	 1 
223 	 86.0 	 1 	 1 
224 	 TVEyes_-_BBC_2_Wales 	 3 	 1 
225 	 Cyprus_Mail 	 12 	 1 
226 	 288.0 	 2 	 1 
227 	 98.0 	 6 	 1 
228 	 37.0 	 2 	 1 
229 	 The_New_York_Times 	 11 	 1 
230 	 116.0 	 8 	 1 
231 	 The_Observer_(London) 	 9 	 1 
232 	 102.0 	 1 	 1 
233 	 TVEyes_-_BBC_1_West 	 3 	 1 
234 	 The_Sunday_Telegraph_(London) 	 6 	 1 
235 	 50.0 	 6 	 1 
236 	 The_Daily_Telegraph_Online 	 6 	 1 
237 	 TVEyes_-_BBC_2 	 3 	 1 
238 	 60.0 	 6 	 1 
239 	 TVEyes_-_BBC_Parliament 	 3 	 1 
240 	 295.0 	 2 	 1 
241 	 Pajhwok_Afghan_News_English 	 7 	 1 
242 	 La_Opinion 	 3 	 1 
243 	 Indian_Express 	 29 	 1 
244 	 68.0 	 7 	 1 
245 	 El_Heraldo_de_México 	 5 	 1 
246 	 Valor_News 	 3 	 1 
247 	 429.0 	 1 	 1 
248 	 ABC_News_Transcript_THIS_WEEK_10:01_AM_EST 	 43 	 1 
