Ranking	Node	Degree	Componenet
1 	 0.0 	 29 	 1 
2 	 Mehr_News_Agency_(MNA) 	 24 	 1 
3 	 UK_Government_News 	 11 	 1 
4 	 UN_News_Service_(New_York) 	 11 	 1 
5 	 Metro_(UK)_Mexico 	 13 	 1 
6 	 Gov.uk 	 11 	 1 
7 	 Metro_Toluca 	 9 	 1 
8 	 The_New_York_Times 	 7 	 1 
9 	 The_Daily_Telegraph_(London) 	 7 	 1 
10 	 United_Nations_News_English 	 7 	 2 
11 	 telegraph.co.uk 	 9 	 3 
12 	 NBCNEWS.com_Mexico 	 7 	 4 
13 	 thetimes.co.uk 	 6 	 5 
14 	 RollCall.com 	 6 	 6 
