Ranking	Node	Degree	Componenet
170 	 76.0 	 7 	 1 
171 	 TVEyes_-_BBC_1_London 	 3 	 1 
172 	 67.0 	 7 	 1 
173 	 36.0 	 14 	 1 
174 	 513.0 	 2 	 1 
175 	 47.0 	 20 	 1 
176 	 TVEyes_-_BBC_1_Southampton 	 3 	 1 
177 	 Edmonton_Sun 	 2 	 1 
178 	 TVEyes_-_BBC_2 	 3 	 1 
179 	 144.0 	 6 	 1 
180 	 50.0 	 6 	 1 
181 	 Manila_Bulletin 	 3 	 1 
182 	 190.0 	 6 	 1 
183 	 97.0 	 6 	 1 
184 	 33.0 	 14 	 1 
185 	 38.0 	 11 	 1 
186 	 125.0 	 6 	 1 
187 	 98.0 	 6 	 1 
188 	 45.0 	 15 	 1 
189 	 126.0 	 8 	 1 
190 	 59.0 	 6 	 1 
191 	 7.0 	 25 	 1 
192 	 TVEyes_-_BBC_1_South_West 	 3 	 1 
193 	 Cyprus_Mail 	 12 	 1 
194 	 TVEyes_-_BBC_1_North 	 3 	 1 
195 	 106.0 	 6 	 1 
196 	 TVEyes_-_BBC_1_South_East 	 3 	 1 
197 	 90.0 	 1 	 1 
198 	 81.0 	 20 	 1 
199 	 Sambad_English 	 4 	 1 
200 	 TVEyes_-_BBC_1_West 	 3 	 1 
201 	 255.0 	 2 	 1 
202 	 142.0 	 3 	 1 
203 	 60.0 	 6 	 1 
204 	 305.0 	 6 	 1 
205 	 TVEyes_-_BBC_1_Oxford 	 3 	 1 
206 	 203.0 	 6 	 1 
207 	 RollCall.com 	 4 	 1 
208 	 122.0 	 7 	 1 
209 	 116.0 	 8 	 1 
210 	 100.0 	 7 	 1 
211 	 20.0 	 27 	 1 
212 	 21.0 	 7 	 1 
213 	 91.0 	 15 	 1 
214 	 54.0 	 6 	 1 
215 	 TVEyes_-_BBC_1_Yorkshire_and_Lincolnshire 	 3 	 1 
216 	 250.0 	 7 	 1 
217 	 TVEyes_-_BBC_News_24 	 3 	 1 
218 	 13.0 	 34 	 1 
219 	 227.0 	 1 	 1 
