Ranking	Node	Degree	Componenet
1 	 Associated_Press_State_&_Local 	 105 	 1 
2 	 Associated_Press_International 	 105 	 1 
3 	 AP_Planner 	 105 	 1 
4 	 The_Associated_Press 	 105 	 1 
5 	 AP_Spanish_Online 	 105 	 1 
6 	 Associated_Press_Financial_Wire 	 105 	 1 
7 	 1.0 	 86 	 1 
8 	 2.0 	 63 	 1 
9 	 25.0 	 43 	 1 
10 	 The_Hill 	 69 	 1 
11 	 ABC_News 	 43 	 1 
12 	 ABC_News_Transcript_THIS_WEEK_10:01_AM_EST 	 43 	 1 
13 	 The_Conversation_-_United_States 	 43 	 1 
14 	 The_Conversation_-_United_Kingdom 	 43 	 1 
15 	 The_Conversation_-_Spanish 	 43 	 1 
16 	 The_Conversation_-_Australia 	 43 	 1 
17 	 Metro_(UK)_Mexico 	 35 	 1 
18 	 Metro_Toluca 	 35 	 1 
19 	 El_Pais 	 36 	 1 
20 	 United_Nations_News_Portuguese 	 21 	 1 
21 	 United_Nations_News_Spanish 	 21 	 1 
22 	 UN_News_Service_(New_York) 	 21 	 1 
23 	 United_Nations_News_English 	 21 	 1 
24 	 0.0 	 79 	 1 
25 	 Indian_Express 	 29 	 1 
26 	 TOI.com_&_ET.com_Blogs 	 27 	 1 
27 	 The_Times_of_India_(TOI) 	 27 	 1 
28 	 10.0 	 33 	 1 
29 	 3.0 	 41 	 1 
30 	 15.0 	 40 	 1 
31 	 139.0 	 31 	 1 
32 	 9.0 	 38 	 1 
33 	 12.0 	 34 	 1 
34 	 11.0 	 33 	 1 
35 	 Bangor_Daily_News_(Maine) 	 30 	 1 
36 	 The_Economic_Times 	 23 	 1 
37 	 Postmedia_Breaking_News 	 27 	 1 
38 	 National_Post_(f/k/a_The_Financial_Post)_(Canada)_Argentina 	 27 	 1 
39 	 The_Week 	 20 	 1 
40 	 National_Post's_Financial_Post_&_FP_Investing_(Canada) 	 18 	 1 
41 	 464.0 	 34 	 1 
42 	 5.0 	 41 	 1 
43 	 The_Gazette_(Montreal) 	 13 	 1 
44 	 The_Daily_Caller 	 14 	 1 
45 	 My_Republica 	 5 	 1 
46 	 Asian_News_International_(ANI) 	 21 	 1 
47 	 8.0 	 6 	 1 
48 	 Ottawa_Citizen 	 15 	 1 
49 	 Toronto_Sun 	 9 	 1 
50 	 Pajhwok_Afghan_News_English 	 7 	 1 
51 	 Gazeta_Wyborcza_in_English 	 6 	 1 
52 	 Mehr_News_Agency_(MNA) 	 8 	 1 
53 	 44.0 	 14 	 1 
54 	 Windsor_Star_(Ontario) 	 7 	 1 
55 	 pravda.sk 	 4 	 1 
56 	 6.0 	 31 	 1 
57 	 Azeri-Press_news_agency_(APA) 	 6 	 1 
58 	 El_Comercio_(Peru) 	 7 	 1 
59 	 EuroNews_-_Versione_Italiana 	 5 	 1 
60 	 16.0 	 21 	 1 
61 	 24.0 	 27 	 1 
62 	 EuroNews_-_Version_Espanola 	 7 	 1 
63 	 La_Opinion 	 3 	 1 
64 	 Reforma_(Mexico) 	 15 	 1 
65 	 28.0 	 15 	 1 
66 	 53.0 	 8 	 1 
67 	 207.0 	 8 	 1 
68 	 27.0 	 15 	 1 
69 	 66.0 	 10 	 1 
70 	 43.0 	 15 	 1 
71 	 The_Observer_(London) 	 9 	 1 
72 	 The_Guardian_(London) 	 9 	 1 
73 	 The_Nation_(Nigeria) 	 5 	 1 
74 	 The_Vancouver_Province_(British_Columbia) 	 5 	 1 
75 	 Syrian_Arab_News_Agency_(SANA) 	 8 	 1 
76 	 El_Heraldo_de_México 	 5 	 1 
77 	 18.0 	 27 	 1 
78 	 La_República_(Uruguay) 	 1 	 1 
79 	 The_Peninsula 	 2 	 1 
80 	 231.0 	 1 	 1 
81 	 The_Punch 	 3 	 1 
82 	 86.0 	 1 	 1 
83 	 Ottawa_Sun 	 1 	 1 
84 	 14.0 	 23 	 1 
85 	 NBCNEWS.com_Mexico 	 3 	 1 
86 	 Saudi_Gazette_-_Saudi_Arabia 	 4 	 1 
87 	 79.0 	 7 	 1 
88 	 58.0 	 16 	 1 
89 	 65.0 	 12 	 1 
90 	 209.0 	 11 	 1 
91 	 89.0 	 11 	 1 
92 	 Euronews_Greek_Version 	 12 	 1 
93 	 17.0 	 16 	 1 
94 	 219.0 	 2 	 1 
95 	 55.0 	 14 	 1 
96 	 39.0 	 12 	 1 
97 	 99.0 	 8 	 1 
98 	 80.0 	 8 	 1 
99 	 29.0 	 25 	 1 
100 	 35.0 	 11 	 2 
101 	 The_Daily_Telegraph_Online 	 6 	 1 
102 	 295.0 	 2 	 1 
103 	 The_Sunday_Telegraph_(London) 	 6 	 1 
104 	 telegraph.co.uk 	 6 	 1 
105 	 46.0 	 8 	 1 
106 	 137.0 	 1 	 1 
107 	 63.0 	 7 	 1 
108 	 42.0 	 9 	 1 
109 	 TVEyes_-_BBC_1_Wales 	 3 	 1 
110 	 96.0 	 6 	 1 
111 	 CBC_News 	 3 	 1 
112 	 TVEyes_-_BBC_1_Scotland 	 3 	 3 
113 	 32.0 	 9 	 1 
114 	 288.0 	 2 	 1 
115 	 thetimes.co.uk 	 5 	 1 
116 	 30.0 	 13 	 1 
117 	 The_Times_(London) 	 5 	 1 
118 	 109.0 	 1 	 1 
119 	 TVEyes_-_BBC_2_Wales 	 3 	 1 
120 	 112.0 	 2 	 1 
121 	 Valor_News 	 3 	 1 
122 	 211.0 	 1 	 1 
123 	 Gov.uk 	 2 	 1 
124 	 259.0 	 1 	 1 
125 	 The_Sunday_Times_(London)_Spain 	 5 	 1 
126 	 136.0 	 6 	 1 
127 	 26.0 	 2 	 1 
128 	 52.0 	 2 	 1 
129 	 ENP_Newswire_Mexico 	 2 	 1 
130 	 22.0 	 9 	 1 
131 	 170.0 	 1 	 1 
132 	 TVEyes_-_BBC_1_East 	 3 	 1 
133 	 Expansión_(Mexico) 	 9 	 1 
134 	 168.0 	 1 	 1 
135 	 UPI 	 4 	 1 
136 	 19.0 	 8 	 1 
137 	 78.0 	 6 	 1 
138 	 104.0 	 6 	 1 
139 	 UK_Government_News 	 2 	 1 
140 	 TVEyes_-_BBC_1_North_West 	 3 	 1 
141 	 72.0 	 11 	 1 
142 	 73.0 	 12 	 1 
143 	 87.0 	 9 	 1 
144 	 143.0 	 1 	 1 
145 	 Winnipeg_Sun 	 6 	 1 
146 	 TVEyes_-_BBC_Parliament 	 3 	 1 
147 	 110.0 	 4 	 1 
148 	 115.0 	 4 	 1 
149 	 489.0 	 1 	 1 
150 	 128.0 	 1 	 1 
151 	 101.0 	 2 	 1 
152 	 75.0 	 1 	 1 
153 	 95.0 	 3 	 1 
154 	 93.0 	 1 	 1 
155 	 274.0 	 1 	 1 
156 	 TVEyes_-_BBC_3 	 3 	 1 
157 	 283.0 	 7 	 1 
158 	 4.0 	 19 	 1 
159 	 TVEyes_-_BBC_1_Northern_Ireland 	 3 	 1 
160 	 150.0 	 6 	 1 
161 	 TVEyes_-_BBC_1_East_Midlands 	 3 	 1 
162 	 327.0 	 2 	 1 
163 	 172.0 	 2 	 1 
164 	 113.0 	 7 	 1 
165 	 61.0 	 14 	 1 
166 	 The_Daily_Telegraph_(London) 	 6 	 1 
167 	 TVEyes_-_BBC_1_North_East_and_Cumbria 	 3 	 1 
168 	 TVEyes_-_BBC_1_West_Midlands 	 3 	 1 
169 	 199.0 	 1 	 1 
