Ranking	Node	Degree	Componenet
1 	 0.0 	 70 	 1 
2 	 1.0 	 50 	 1 
3 	 Associated_Press_International 	 19 	 1 
4 	 AP_Planner 	 19 	 1 
5 	 The_Associated_Press 	 19 	 1 
6 	 AP_Spanish_Online 	 19 	 1 
7 	 Associated_Press_Financial_Wire 	 19 	 1 
8 	 Associated_Press_State_&_Local 	 19 	 1 
9 	 15.0 	 18 	 1 
10 	 13.0 	 15 	 1 
11 	 24.0 	 10 	 1 
12 	 9.0 	 12 	 1 
13 	 2.0 	 18 	 1 
14 	 The_Hill 	 12 	 1 
15 	 10.0 	 14 	 1 
16 	 3.0 	 18 	 1 
17 	 5.0 	 14 	 1 
18 	 219.0 	 12 	 1 
19 	 The_Conversation_-_Australia 	 9 	 1 
20 	 The_Conversation_-_Spanish 	 9 	 1 
21 	 The_Conversation_-_United_States 	 9 	 1 
22 	 The_Conversation_-_United_Kingdom 	 9 	 1 
23 	 United_Nations_News_Portuguese 	 8 	 1 
24 	 United_Nations_News_Spanish 	 8 	 1 
25 	 United_Nations_News_English 	 8 	 1 
26 	 UN_News_Service_(New_York) 	 8 	 1 
27 	 12.0 	 7 	 1 
28 	 8.0 	 2 	 1 
29 	 27.0 	 2 	 1 
30 	 11.0 	 2 	 1 
31 	 47.0 	 2 	 1 
32 	 6.0 	 9 	 1 
33 	 16.0 	 6 	 1 
34 	 4.0 	 5 	 1 
35 	 37.0 	 5 	 1 
36 	 EuroNews_-_Versione_Italiana 	 1 	 1 
37 	 21.0 	 1 	 1 
38 	 172.0 	 1 	 1 
39 	 29.0 	 1 	 1 
40 	 NBCNEWS.com_Mexico 	 3 	 1 
41 	 National_Post_(f/k/a_The_Financial_Post)_(Canada)_Argentina 	 4 	 1 
42 	 Postmedia_Breaking_News 	 4 	 1 
43 	 7.0 	 11 	 1 
44 	 139.0 	 4 	 1 
45 	 TVEyes_-_BBC_1_West_Midlands 	 2 	 1 
46 	 The_Daily_Telegraph_(London) 	 3 	 1 
47 	 TVEyes_-_BBC_1_London 	 2 	 1 
48 	 TVEyes_-_BBC_1_North 	 2 	 1 
49 	 Cyprus_Mail 	 1 	 1 
50 	 TVEyes_-_BBC_2 	 2 	 1 
51 	 CBC_News 	 2 	 1 
52 	 TVEyes_-_BBC_1_Southampton 	 2 	 1 
53 	 El_Comercio_(Peru) 	 1 	 1 
54 	 TVEyes_-_BBC_1_South_West 	 2 	 1 
55 	 Toronto_Sun 	 1 	 1 
56 	 Metro_Toluca 	 4 	 1 
57 	 TVEyes_-_BBC_1_Scotland 	 2 	 1 
58 	 Manila_Bulletin 	 1 	 1 
59 	 TVEyes_-_BBC_2_Wales 	 2 	 1 
60 	 Indian_Express 	 2 	 1 
61 	 TVEyes_-_BBC_1_North_East_and_Cumbria 	 2 	 1 
62 	 TVEyes_-_BBC_1_West 	 2 	 1 
63 	 Azeri-Press_news_agency_(APA) 	 2 	 1 
64 	 TVEyes_-_BBC_1_North_West 	 2 	 1 
65 	 Mehr_News_Agency_(MNA) 	 2 	 1 
66 	 UPI 	 1 	 1 
67 	 National_Post's_Financial_Post_&_FP_Investing_(Canada) 	 2 	 1 
68 	 TVEyes_-_BBC_1_East 	 2 	 1 
69 	 Edmonton_Journal_(Alberta) 	 2 	 1 
70 	 The_Sunday_Times_(London)_Spain 	 1 	 1 
71 	 The_Times_(London) 	 1 	 1 
72 	 thetimes.co.uk 	 1 	 1 
73 	 Business_Insider_US 	 3 	 1 
74 	 TVEyes_-_BBC_1_South_East 	 2 	 1 
75 	 The_Sunday_Telegraph_(London) 	 3 	 1 
76 	 TVEyes_-_BBC_Parliament 	 2 	 1 
77 	 TVEyes_-_BBC_1_Yorkshire_and_Lincolnshire 	 2 	 1 
78 	 61.0 	 6 	 1 
79 	 Reforma_(Mexico) 	 1 	 1 
80 	 The_Daily_Telegraph_Online 	 3 	 1 
81 	 telegraph.co.uk 	 3 	 1 
82 	 ABC_News 	 9 	 1 
83 	 TVEyes_-_BBC_1_East_Midlands 	 2 	 1 
84 	 76.0 	 6 	 1 
85 	 TVEyes_-_BBC_1_Northern_Ireland 	 2 	 1 
86 	 14.0 	 7 	 1 
87 	 Metro_(UK)_Mexico 	 4 	 1 
88 	 81.0 	 1 	 1 
89 	 Syrian_Arab_News_Agency_(SANA) 	 2 	 1 
90 	 The_Daily_Caller 	 2 	 1 
91 	 UK_Government_News 	 3 	 1 
92 	 Gov.uk 	 3 	 1 
93 	 TOI.com_&_ET.com_Blogs 	 2 	 1 
94 	 The_Times_of_India_(TOI) 	 2 	 1 
95 	 The_Week 	 2 	 1 
96 	 TVEyes_-_BBC_1_Wales 	 2 	 1 
97 	 The_Observer_(London) 	 5 	 1 
98 	 The_Guardian_(London) 	 5 	 1 
99 	 50.0 	 6 	 1 
100 	 34.0 	 2 	 1 
101 	 20.0 	 7 	 2 
102 	 TVEyes_-_BBC_1_Oxford 	 2 	 2 
103 	 Bangor_Daily_News_(Maine) 	 1 	 1 
104 	 25.0 	 7 	 1 
105 	 RollCall.com 	 1 	 1 
106 	 El_Pais 	 3 	 1 
107 	 ABC_News_Transcript_THIS_WEEK_10:01_AM_EST 	 9 	 1 
108 	 Gazeta_Wyborcza 	 2 	 1 
109 	 TVEyes_-_BBC_3 	 2 	 1 
110 	 26.0 	 4 	 1 
111 	 TVEyes_-_BBC_News_24 	 2 	 1 
112 	 Ottawa_Citizen 	 4 	 1 
113 	 The_Economic_Times 	 4 	 1 
114 	 The_New_York_Times 	 7 	 1 
115 	 18.0 	 6 	 1 
